symbol,tsetmcid,url,site_type,type
مدیر,65576885779918210,https://modirfund.ir/,TadbirPardaz,Stock
بذر,37222720235819361,http://www.bazreomidfund.ir/,RayanHamafza,Stock
اطلس,11427939669935844,https://atlasetf.com/,TadbirPardaz,Stock
نوآور,63888998422355039,https://esnfund.ir/,TadbirPardaz,PE
آسامید,24869832924911721,https://asamidfund.ir/,TadbirPardaz,Fixed
تهران1,20219449694505209,https://www.utvcfund.ir/,TadbirPardaz,VC
پالایش,67675656072510693,http://p1fund.ir/,RayanHamafza,Stock
صایند,45205530868811305,http://www.ayandehfund.com/,RayanHamafza,Fixed
رویش,16307993585897047,http://www.royeshvcfund.ir/,,VC
آوا,18007109712724189,http://www.avayemeyar.ir/,RayanHamafza,Stock
آشناتک,11301273980316268,http://iavc.ir/,,VC
کاریس,69067576215760005,http://scetf.ir/,RayanHamafza,Stock
فنابا,3329167699100936,https://www.icpfvc.ir/,TadbirPardaz,VC
کاردان,65023851436340574,https://iran-kfunds3.ir/,TadbirPardaz,Stock
افران,3846143218462419,https://afra.fund/,RayanHamafza,Fixed
الماس,28788598290160782,http://fardaetf.tadbirfunds.com/,RayanHamafza,Stock
آکورد,30282299500988269,http://www.aaketf.com/,RayanHamafza,Fixed
پارتین,15090491830692116,https://partianvc.com/,,VC
گنجین,57728534324022361,https://ganjinehavid.ir/,TadbirPardaz,Fixed
سپاس,39453972158399542,https://sepasetf.ir/,TadbirPardaz,Fixed
امین یکم,45728383369147894,https://aminfarda.com/,,Fixed
کیان,53251602435454519,https://kianfunds1.ir/,RayanHamafza,Fixed
سرو,64942549055019553,https://sarv.fund/,RayanHamafza,Stock
آگاس,33887145736684266,https://www.hbagahfund.com/,RayanHamafza,Stock
اوصتا,57761388729898548,https://sast.sabaamc.ir/,RayanHamafza,Fixed
پارند,70595828753641750,https://parandfund.ir/,RayanHamafza,Fixed
آتی1,17758788623651072,http://www.armanativcfund1.com/,TadbirPardaz,VC
ارزش,43443105991896600,http://arzesh.ebb.ir/,RayanHamafza,Stock
آسام,36592972482259020,https://asaetf.ir/,TadbirPardaz,Mixed
سپر,17226661368470120,http://separ.ebb.ir/,RayanHamafza,Fixed
صنوین,68203878405672734,http://www.sepehrnovin.ir/,RayanHamafza,Mixed
داریک,71076372178147339,http://etemaddarik.ir/,RayanHamafza,Fixed
فیروزا,10795723506538053,http://www.firouzehfixetf.com/,RayanHamafza,Fixed
افق ملت,15451317146134956,https://ofoghmellat.ir/,TadbirPardaz,Stock
دارا یکم,62235397452612911,http://fi1fund.com/,RayanHamafza,Stock
سخند,59598536122397373,http://www.khobregan-etf.com/,RayanHamafza,Fixed
ثروتم,71672399601682259,http://www.sap-fund.com/,RayanHamafza,Stock
دارا,62012736978844991,http://darafund.ir/,RayanHamafza,Fixed
آرمانی,8603978909726038,http://armanivc.com/,,VC
ارمغان,31366347648583654,http://www.armaghanfund.ir/,RayanHamafza,Fixed
یاقوت,1438514795814416,https://www.yaghootfund.ir/,RayanHamafza,Fixed
آساس,66682662312253625,https://asasfund.ir/,TadbirPardaz,Stock
آتیمس,22839330962768817,http://www.armanmesetf.com/,RayanHamafza,Stock
استارز,4395741730355818,https://sb-vcfund.com/,TadbirPardaz,VC
تصمیم,53419976284977130,http://tasmim-sabet.ir/,RayanHamafza,Fixed
فیروزه,66036975502302203,https://iranetf.ir/,TadbirPardaz,Stock
اعتماد,66818022341772870,http://www.eap-fund.com/,RayanHamafza,Fixed
ونچر,57585821705408565,https://firouzehvcfund.com/,,VC
کمند,34718633636164421,http://www.kamandfixedincome.com/,RayanHamafza,Fixed
گنجینه,47101579271117172,http://ganjineh.dariush.fund/,RayanHamafza,Fixed
زرین,50139638026536387,http://zarinfunds.com/,RayanHamafza,Stock
طلا,46700660505281786,http://www.lotusgoldfund.capital/,RayanHamafza,Commodity
عیار,34144395039913458,https://ayaretf.com/,TadbirPardaz,Commodity
فردا,65249046611427924,https://afzfund.ir/,TadbirPardaz,Fixed
ثروت,27812005859539773,https://firouzehpe.ir/,TadbirPardaz,PE
ویسرو,18919451747622263,http://sarvvcfund1.ir/,,VC
کارین,16056283141617755,https://neginsamanfund.ir/,TadbirPardaz,Fixed
وبازار,41286608288791633,http://www.indexfund.ir/,RayanHamafza,Stock
زر ,33254899395816171,http://www.omidgoldfund.ir/,RayanHamafza,Commodity
سحرخیز,51200575796028449,http://saharkhizfund.com/,RayanHamafza,Commodity
گوهر,12390706505809150,https://kianfunds3.ir/,RayanHamafza,Commodity
نهال,12913156843322499,http://ngmf.ir/,RayanHamafza,Commodity
خاتم,18865325633315847,http://etf.isatispm.com/,RayanHamafza,Fixed
سپیدما,2161110547458064,http://www.sepiddamavandfund.ir/,RayanHamafza,Fixed
فراز,13666407494621646,http://www.farazdarik.ir/,RayanHamafza,Stock
ثهام,38713440086361985,https://servat.hummers.ir/,,Stock
پادا,67522512921942106,http://www.padashparsfund.com/,RayanHamafza,Stock
کمان,58965710006903807,https://kamanfund.ir/,TadbirPardaz,PE
کهربا,25559236668122210,http://kahroba.charisma.ir/,RayanHamafza,Commodity
همای,15494954332657697,https://www.homayeagah.ir/,RayanHamafza,Fixed
سیناد,31913287805282551,https://sinaetf.ir/,TadbirPardaz,Fixed
کامیاب,16040900750729921,http://www.kamyabfund.ir/,RayanHamafza,Fixed
داریوش,58789178087946067,http://servat.dariush.fund/,RayanHamafza,Stock
اوج,62575434414985179,http://www.oujdamavandfund.ir/,RayanHamafza,Stock
ثبات,26780282166315918,http://www.sobatvista.ir/,RayanHamafza,Fixed
کارا,71843282162462661,http://kara.charisma.ir/,RayanHamafza,Fixed
مانی,61265100181977543,https://manifunds.ir/,TadbirPardaz,Fixed
زیتون,28551661889797217,https://zeytoon.fund/,RayanHamafza,Mixed
سپهر,471543293603227,https://sepehrvcfund.ir/,,VC
ویستا,58852293795036597,http://www.vistasahm.ir/,RayanHamafza,Stock
ثمین,66721204145017523,https://saminfund.ir/,RayanHamafza,Stock
سورین,26547362091465395,https://sourin-pe.ir/,TadbirPardaz,PE
رماس,22002589755112021,http://www.emacofund.ir/,RayanHamafza,Stock
گنبد,7670135462634715,http://www.gonbadminafund.ir/,RayanHamafza,Mixed
اهرم,17914401175772326,http://ahrom.charisma.ir/,,Stock
مثقال,32469128621155736,http://www.zarinagahfund.com/,RayanHamafza,Commodity
انار,30215634246748564,http://anar.fund/,RayanHamafza,Stock
یارا,45284811973404357,https://fund1.ariaamc.ir/,RayanHamafza,Fixed
صنم,47125023640770480,http://sanam.charisma.ir/,RayanHamafza,Stock
تاراز,24651394045981418,http://tarazfund.ir/,RayanHamafza,Stock
آرام,14230681955555738,https://arametf.com/,TadbirPardaz,Stock
پاداش,43267179898797137,http://www.arzeshpadash.com/,RayanHamafza,Fixed
رشد,48287767791629523,https://rpfund.ir/,TadbirPardaz,Fixed
مروارید,31248540252187559,http://morvaridfund.ir/,RayanHamafza,Stock
